,m1,m10,m100,m1000,m1002,m1003,m1004,m1005,m1006,m1007,m1008,m1009,m101,m1010,m1011,m1012,m1013,m1014,m1015,m1016,m1017,m1018,m1019,m102,m1020,m1021,m1022,m1023,m1024,m1025,m1026,m1027,m1028,m1029,m103,m1030,m1031,m1032,m1033,m1034,m1035,m1036,m1037,m1038,m1039,m104,m1040,m1041,m1042,m1043,m1044,m1046,m1047,m1049,m105,m1050,m1051,m1053,m1054,m1055,m1056,m1057,m1058,m1059,m106,m1060,m1061,m1062,m1063,m1064,m1066,m1067,m1068,m1069,m107,m1070,m1071,m1073,m1076,m1077,m1078,m1079,m108,m1080,m1081,m1082,m1083,m1084,m1085,m1086,m1087,m1088,m1089,m1090,m1091,m1092,m1093,m1094,m1095,m1096
u1583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1584,4.0,3.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,2.0,,,,4.0,1.0,,,5.0,,4.0,,,,4.0,3.0,2.0,,,4.0,,,,,4.0,,,,3.0,,,,,1.0,,,,,,,,,,3.0,5.0,,5.0,,,,,,,,,5.0,,,,2.0,2.0,,
u1585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,
u1586,5.0,3.0,,,,,,,,,,,,,,,,,,,,,5.0,,,,5.0,,,,,,5.0,5.0,,,,5.0,,,5.0,5.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,5.0,,5.0,5.0,4.0,,3.0,4.0,,5.0,4.0,,,,5.0,4.0,5.0,,,4.0,,,
u1587,3.0,,,,,4.0,,,,1.0,,,,,,4.0,4.0,,,,,,,,4.0,4.0,4.0,,,,,,4.0,,,,,4.0,,,,,3.0,,,4.0,,1.0,3.0,,,,,,,,4.0,,,,,,,3.0,,4.0,,,,,,,,,,,,5.0,,,,4.0,,5.0,,,,4.0,,,,5.0,5.0,4.0,,,4.0,4.0,5.0,5.0
u1588,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1589,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,
u159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,5.0
u1591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,5.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,4.0,4.0,,,,,,,,5.0,3.0,5.0,,,,5.0
u1592,3.0,3.0,,,,,,,,,,,,,3.0,,,,3.0,,,,3.0,,,,,,,,,,5.0,,,,3.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,4.0,3.0,3.0,,3.0,,,,,,4.0,,3.0,,4.0,,4.0,4.0,,,
u1593,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,4.0,
u1594,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,4.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,5.0,,3.0,4.0,,,,,,,,,,,,,,,
u1595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,5.0,,,,,,
u1596,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1597,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,3.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,4.0,,4.0,2.0,,,
u1598,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,4.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,2.0,,,,,,,,,,,,,,,
u1599,5.0,,,,,,,,,4.0,,3.0,,4.0,,5.0,4.0,,,,5.0,,4.0,,3.0,4.0,3.0,,,,,,2.0,5.0,,1.0,4.0,,,1.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,4.0,,,,,,,,,,3.0,4.0,,,2.0,,2.0,4.0,4.0,4.0,,,
u16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1600,,4.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,4.0,,,,,,,,4.0,5.0,,,,4.0,,,4.0,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,5.0,,,5.0,,,4.0,,,,4.0,,,2.0,,,,,
u1601,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,3.0,,,5.0,,,,,,,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,5.0,
u1602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,4.0,,,,,,,
u1603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,
u1604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1605,4.0,,,,,,,3.0,,2.0,,3.0,3.0,3.0,,4.0,5.0,4.0,3.0,3.0,3.0,3.0,4.0,,4.0,4.0,4.0,3.0,3.0,3.0,,3.0,4.0,4.0,,3.0,4.0,4.0,3.0,,5.0,,,,,3.0,2.0,4.0,4.0,2.0,,,4.0,,2.0,,3.0,,,,4.0,,,4.0,,4.0,3.0,,,2.0,,,,,2.0,,,4.0,,3.0,2.0,,,,,,,,,,,4.0,,,4.0,,,,,
u1606,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,4.0,,,
u1607,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,3.0,,,,,,3.0,,,3.0,4.0,,,4.0,,3.0,4.0
u1608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
u1609,4.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,4.0,,,,,,,,4.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,4.0,,,,,4.0,,3.0,,,,,4.0,,4.0,,3.0,,4.0,,5.0
u161,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,5.0,,,,4.0,,5.0,,,,4.0,,,,5.0,,5.0
u1610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,
u1611,3.0,,,,,3.0,,,,,,4.0,,,,,,,,,,,,,,,3.0,4.0,,4.0,,1.0,,3.0,,4.0,,4.0,4.0,,2.0,4.0,,,,5.0,,3.0,5.0,,,,,3.0,,5.0,,,,,,4.0,,1.0,,,,,,,,,,,4.0,,,5.0,,,,,,4.0,,,,,,,,3.0,5.0,,,4.0,4.0,4.0,,
u1612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1613,5.0,,2.0,,,4.0,1.0,1.0,3.0,4.0,,,4.0,,,5.0,4.0,,,4.0,4.0,,4.0,,2.0,,5.0,,,4.0,,4.0,5.0,4.0,,4.0,4.0,4.0,4.0,,5.0,5.0,2.0,,,4.0,,,1.0,,,,3.0,3.0,3.0,,,,,,,,,4.0,,4.0,4.0,,,,,,,,,,,4.0,,,,4.0,,4.0,,,,5.0,,3.0,,3.0,4.0,5.0,2.0,,,,,
u1614,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
u1615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1616,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,5.0,,,,,,,,,,,,,5.0,,,,3.0,,,,,,,,,,,,,,4.0,,,,,,,,,,5.0,,,,4.0,,
u1617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,
u1618,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,3.0,,,,,,,,,,,,
u1619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u162,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,5.0,,,,,,,
u1621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
u1623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,5.0,,,,,,,,,,,,,,,,,,
u1624,,4.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,2.0,5.0,2.0,,,,,,2.0,,,,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,
u1625,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,3.0,,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,
u1627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1628,5.0,3.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,,,4.0,,,3.0,,,,,,,,,,4.0,,,,,4.0,,5.0,,,,,,,,,,,,4.0,,,,5.0,,4.0,,,,4.0,,,,,5.0,4.0,,,,3.0,4.0,
u1629,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u163,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,2.0,,1.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,
u1630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
u1631,,4.0,,,,,,3.0,,4.0,,,,3.0,,,,5.0,,4.0,,4.0,,,,3.0,,,,,,,5.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,2.0,,,,,,,,,,,,,
u1632,3.0,3.0,,,,,,,,,,,4.0,,,2.0,1.0,1.0,,,,,2.0,,,,3.0,,1.0,1.0,,,2.0,4.0,,,,2.0,,,1.0,2.0,1.0,,,,,3.0,,,,,,,,,,,,,4.0,,,,,2.0,,,,,,,,,,,,3.0,,4.0,4.0,3.0,,3.0,2.0,3.0,,3.0,3.0,3.0,,,3.0,4.0,,,,3.0,3.0,3.0
u1633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1634,5.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1635,5.0,4.0,,,,4.0,,,,,,3.0,,3.0,3.0,5.0,,,,4.0,,,5.0,,,,5.0,,,3.0,,2.0,4.0,4.0,,3.0,4.0,5.0,4.0,,,4.0,,,,,,,,,,,4.0,3.0,,5.0,,,,,,,,4.0,,2.0,,,,3.0,,,,,,,,5.0,,,5.0,4.0,,5.0,,,,,,,,,5.0,5.0,,1.0,4.0,,4.0,
u1636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,3.0,,
u1637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1639,4.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,5.0,,5.0,,,,,,,5.0,,,,3.0,,,,4.0,,,,,3.0,,,,,,,,,,,,,,,,4.0,,2.0,,4.0,,,,,,,,,,,5.0,5.0,,4.0,3.0,,,
u164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,
u1642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,
u1643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,5.0,5.0,,5.0,,,,
u1644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1645,,4.0,,,,,,4.0,,3.0,,,,4.0,,4.0,,5.0,,4.0,5.0,5.0,5.0,,3.0,4.0,5.0,,,4.0,,,5.0,,,,,5.0,5.0,,,2.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,5.0,,,5.0,,,,,1.0,,,5.0,,,,,
u1646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
u1647,5.0,3.0,,,,,,1.0,,3.0,,2.0,,3.0,2.0,4.0,3.0,,5.0,3.0,4.0,2.0,4.0,2.0,4.0,3.0,,,3.0,4.0,,3.0,4.0,4.0,,2.0,2.0,4.0,,,4.0,4.0,,,,4.0,,,4.0,,,,,4.0,,,,,,,,,,,,,,,,2.0,,,,,3.0,,,5.0,,,,4.0,,,,,,,4.0,,,3.0,5.0,4.0,,3.0,,,,
u1648,,,,,,,,,,3.0,,,,,2.0,,4.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,3.0,4.0,,,,,,3.0,,,,,2.0,,2.0,,,,,
u1649,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
u165,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,5.0,3.0,,,,,,
u1650,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,4.0,,,,4.0,,4.0,,,,3.0,,,,,5.0,,,,,,,
u1651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
u1652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,
u1655,3.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,4.0,,,,,,,4.0,,,,,3.0,,,4.0,,,,5.0,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1657,5.0,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,5.0,5.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
u1658,4.0,,,,,,,,,,,,4.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,4.0,,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,2.0,,1.0,,4.0,,,,,,,3.0,,,4.0,,,4.0,
u1659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,
u166,,,,,,,,,,,,,,,,,,,5.0,,,,,,,4.0,,,,,,,3.0,4.0,,3.0,,4.0,,,3.0,4.0,,,,3.0,,,,,,5.0,,,,,3.0,,,,,,,5.0,,4.0,,,,,,,,,,,,5.0,,3.0,,,,,,,,,,4.0,,,5.0,,1.0,3.0,,3.0,,
u1660,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,4.0,,
u1662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1664,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,
u1665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1666,4.0,3.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,4.0,,,,,,,,,,,,4.0,,,3.0,,2.0,,,,,,,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,4.0,,2.0,,
u1667,,4.0,,,,,3.0,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,5.0,,,,,3.0,5.0,,,,4.0,,
u1668,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1669,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,5.0,,
u1671,5.0,,,,,,,,,,,,,3.0,,,5.0,4.0,,4.0,3.0,4.0,4.0,,,,,,,,,,5.0,4.0,,,2.0,,,,4.0,,,,,,,5.0,,,,5.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,5.0,4.0,2.0,,5.0,,5.0,5.0,,,4.0,,,,,,,,4.0,,5.0,,
u1672,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1673,5.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1674,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1675,5.0,,,,,,1.0,,,,,3.0,,,,,,,,,,,3.0,,,,3.0,4.0,4.0,3.0,,,,5.0,,4.0,,3.0,4.0,,,,3.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
u1676,5.0,5.0,,,,,,2.0,,,,,,3.0,,4.0,4.0,,4.0,,5.0,,4.0,2.0,,3.0,5.0,5.0,5.0,5.0,,,5.0,5.0,,4.0,4.0,5.0,5.0,,4.0,5.0,3.0,,,3.0,,,3.0,,,,3.0,4.0,,,,,,,,,,,,3.0,,,,3.0,,,,,4.0,,,4.0,,,,4.0,,,,,,,,,,,5.0,,5.0,3.0,,,,
u1677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1678,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
